"taxon_id"	"taxon_rank"	"scientific_name"	"assembly_id"	"contig_count"	"scaffold_count"	"chromosome_count"	"gc_percent"	"gene_count"	"assembly_level"	"assembly_span"	"contig_n50"	"scaffold_n50"	"busco_completeness"
"7116"	"species"	"Pieris brassicae"	"GCA_905147105.1"	430	401	16	34.12		"Chromosome"	292325833	21291167	21549451	99
"171585"	"species"	"Nymphalis io"	"GCA_905147125.1"	200	200		33.5		"Contig"	381505224	4595913	4595913	
"2561016"	"species"	"Blastobasis lacticolella"	"GCA_905147135.1"	114	44	30	39.72		"Chromosome"	577068156	11597587	20548006	97.7
"203782"	"species"	"Celastrina argiolus"	"GCA_905147145.1"	1019	912		36		"Scaffold"	473038342	1155857	1312051	
"91739"	"species"	"Aricia agestis"	"GCA_905147165.1"	248	248		37		"Contig"	434242426	3967225	3967225	
"111881"	"species"	"Nymphalis urticae"	"GCA_905147175.2"	43	34	32	33.5		"Chromosome"	392803606	12914721	13174286	
"1100916"	"species"	"Apotomis turbidana"	"GCA_905147195.1"	1444	1442		38		"Scaffold"	675155251	1023545	1023545	
"2561016"	"species"	"Blastobasis lacticolella"	"GCA_905147205.1"	435	433		39.5		"Scaffold"	539891459	3371374	3371374	
"987935"	"species"	"Euproctis similis"	"GCA_905147215.1"	333	333		36.5		"Contig"	494155770	3224485	3224485	
"987935"	"species"	"Euproctis similis"	"GCA_905147225.2"	54	29	22	36.5		"Chromosome"	507633075	21398081	24449160	
"520884"	"species"	"Erynnis tages"	"GCA_905147235.1"	110	40	31	36.88		"Chromosome"	329343411	8006790	11903105	98.30000000000001
"520884"	"species"	"Erynnis tages"	"GCA_905147245.1"	232	231		37		"Scaffold"	330807701	3235590	3235590	
"988025"	"species"	"Cyaniris semiargus"	"GCA_905147265.1"	436	434		36.5		"Scaffold"	441887936	2028856	2057646	
"987985"	"species"	"Mythimna impura"	"GCA_905147275.2"	1786	1783		39.5		"Scaffold"	960649792	9326425	9326425	
"753189"	"species"	"Hypena proboscidalis"	"GCA_905147285.1"	85	55	31	35.2		"Chromosome"	636770889	18834925	21969129	98.7
"722673"	"species"	"Hylaea fasciaria"	"GCA_905147295.1"	787	785		38.5		"Scaffold"	256092023	825097	825097	
"753189"	"species"	"Hypena proboscidalis"	"GCA_905147305.1"	507	499		35		"Scaffold"	598700299	2744547	2750955	
"270466"	"species"	"Limenitis camilla"	"GCA_905147315.1"	426	426		33.5		"Contig"	396065961	1968423	1968423	
"753204"	"species"	"Notodonta dromedarius"	"GCA_905147325.1"	167	145	31	38.56		"Chromosome"	341975702	10324145	12059830	98.9
"987985"	"species"	"Mythimna impura"	"GCA_905147345.3"	104	57	32	39		"Chromosome"	935333665	24326301	30601083	
"1100916"	"species"	"Apotomis turbidana"	"GCA_905147355.2"	109	43	28	37.980000000000004		"Chromosome"	720450266	13785672	27109628	98.30000000000001
"91739"	"species"	"Aricia agestis"	"GCA_905147365.1"	29	25	23	36.87		"Chromosome"	435265205	17774651	19030843	97.30000000000001
"722673"	"species"	"Hylaea fasciaria"	"GCA_905147375.1"	44	33	31	38.67		"Chromosome"	327919484	11053481	11686647	98.4
"270466"	"species"	"Limenitis camilla"	"GCA_905147385.1"	101	73	31	33.45		"Chromosome"	435097539	12016996	15214206	98.80000000000001
"42275"	"species"	"Vanessa atalanta"	"GCA_905147705.2"	255	252		33		"Scaffold"	345513609	5095203	5095203	
"988049"	"species"	"Xestia xanthographa"	"GCA_905147715.2"	301	59	32	38.7		"Chromosome"	933866812	9149592	31247186	98.7
"875884"	"species"	"Phlogophora meticulosa"	"GCA_905147725.1"	173	172		38		"Scaffold"	507279698	8980099	9014086	
"64459"	"species"	"Pieris rapae"	"GCA_905147735.1"	59	59		33		"Contig"	241658777	10308461	10308461	
"875884"	"species"	"Phlogophora meticulosa"	"GCA_905147745.2"	60	46	32	38		"Chromosome"	538644470	17289153	18098236	
"988049"	"species"	"Xestia xanthographa"	"GCA_905147755.2"	1033	927		38.5		"Scaffold"	878413348	2208737	2388542	
"42275"	"species"	"Vanessa atalanta"	"GCA_905147765.2"	159	141	32	32.84		"Chromosome"	370420815	12152710	12792537	98.80000000000001
"721163"	"species"	"Thyatira batis"	"GCA_905147775.1"	240	240		36		"Contig"	313021370	2448635	2448635	
"721163"	"species"	"Thyatira batis"	"GCA_905147785.2"	98	51	31	36		"Chromosome"	314783116	7458081	11052377	
"64459"	"species"	"Pieris rapae"	"GCA_905147795.1"	43	39	26	33.230000000000004		"Chromosome"	256355036	10651053	10651053	98.80000000000001
"753216"	"species"	"Phalera bucephala"	"GCA_905147805.2"	2590	2586		39.5		"Scaffold"	858026449	660869	660869	
"753216"	"species"	"Phalera bucephala"	"GCA_905147815.2"	295	116	31	39.34		"Chromosome"	933132188	8469804	34116407	98.9
"753204"	"species"	"Notodonta dromedarius"	"GCA_905147855.1"	315	308		38.5		"Scaffold"	339672555	3034062	3034062	
"1101095"	"species"	"Endotricha flammealis"	"GCA_905160925.1"	1740	1694		36.5		"Scaffold"	444101134	509714	512370	
"1101095"	"species"	"Endotricha flammealis"	"GCA_905163395.2"	289	40	32	36.77		"Chromosome"	473933762	3020129	16153102	98.7
"55057"	"species"	"Mamestra brassicae"	"GCA_905163405.1"	292	292		39		"Contig"	23004467	552583	552583	
"753202"	"species"	"Noctua fimbriata"	"GCA_905163415.1"	266	51	32	38.52		"Chromosome"	573940004	4379755	18977511	99
"753202"	"species"	"Noctua fimbriata"	"GCA_905163425.1"	1263	1263		38.5		"Contig"	530592961	753227	753227	
"55057"	"species"	"Mamestra brassicae"	"GCA_905163435.1"	69	42	31	38.31		"Chromosome"	576168760	17758554	19384296	98.9
"116150"	"species"	"Pararge aegeria"	"GCA_905163445.1"	81	70	29	35.99		"Chromosome"	516571003	19375358	19375358	98.60000000000001
"938226"	"species"	"Craniophora ligustri"	"GCA_905163465.1"	94	32	32	36.03		"Chromosome"	437978302	12212030	15030495	98.9
"116126"	"species"	"Cosmia trapezina"	"GCA_905163495.3"	266	62	32	38		"Chromosome"	825172178	7584852	28022459	
"78897"	"species"	"Lymantria monacha"	"GCA_905163515.2"	47	30	28	37.87		"Chromosome"	915653161	33489103	33870686	98.80000000000001
"78897"	"species"	"Lymantria monacha"	"GCA_905163525.1"	2033	2021		38		"Scaffold"	895530976	903702	913726	
"116150"	"species"	"Pararge aegeria"	"GCA_905163545.1"	401	401		36		"Contig"	440921836	3248925	3248925	
"1594315"	"species"	"Notocelia uddmanniana"	"GCA_905163555.1"	237	48	28	38.660000000000004		"Chromosome"	794107225	6700113	28990537	98.30000000000001
"1594315"	"species"	"Notocelia uddmanniana"	"GCA_905163575.1"	2103	2083		38.5		"Scaffold"	787875430	699156	709697	
"938226"	"species"	"Craniophora ligustri"	"GCA_905163585.1"	1204	1204		36		"Contig"	399761949	601847	601847	
"116126"	"species"	"Cosmia trapezina"	"GCA_905163595.1"	2723	2655		38		"Scaffold"	884050094	4196587	4196587	
"36212"	"species"	"Trachurus trachurus"	"GCA_905171655.2"	1123	1049		42		"Scaffold"	797027743	1575933	1647680	
"36212"	"species"	"Trachurus trachurus"	"GCA_905171665.2"	374	152	24	41.94		"Chromosome"	801227381	6490592	35447499	98.60000000000001
"8384"	"species"	"Bufo bufo"	"GCA_905171715.1"	24351	24195		44.5		"Scaffold"	3744894388	241528	243161	
"8407"	"species"	"Rana temporaria"	"GCA_905171725.1"	12033	12019		44		"Scaffold"	3686210129	547939	548370	
"8384"	"species"	"Bufo bufo"	"GCA_905171765.1"	5501	1306	11	44.410000000000004		"Chromosome"	5044744194	3959750	635713434	90.10000000000001
"8407"	"species"	"Rana temporaria"	"GCA_905171775.1"	2411	554	13	43.88		"Chromosome"	4111422596	6264810	481763206	90.7
"34682"	"species"	"Syritta pipiens"	"GCA_905187475.1"	22	6	5	38.42		"Chromosome"	318506762	28212948	86509480	97.2
"203782"	"species"	"Celastrina argiolus"	"GCA_905187575.2"	137	28	26	36		"Chromosome"	499114119	7710655	20425925	
"988025"	"species"	"Cyaniris semiargus"	"GCA_905187585.1"	34	25	24	36.51		"Chromosome"	441504031	16283616	19361588	97.2
"214277"	"species"	"Noctua pronuba"	"GCA_905220335.1"	74	49	32	38.230000000000004		"Chromosome"	529179202	16195000	17891575	98.9
"214277"	"species"	"Noctua pronuba"	"GCA_905220345.1"	224	224		38		"Contig"	487823627	14407860	14407860	
"171605"	"species"	"Vanessa cardui"	"GCA_905220355.1"	274	273		33.5		"Scaffold"	400957847	2747079	2747079	
"171605"	"species"	"Vanessa cardui"	"GCA_905220365.1"	127	36	32	33.42		"Chromosome"	424798336	7041724	14615999	98.80000000000001
"171605"	"species"	"Vanessa cardui"	"GCA_905220365.2"	127	36	32	33.5		"Chromosome"	424798336	7041724	14615999	
"631328"	"species"	"Tachina fera"	"GCA_905220375.1"	322	12	6	30.27		"Chromosome"	751720058	16231967	141997299	98.4
"374264"	"species"	"Xylota sylvarum"	"GCA_905220385.1"	182	119	5	38.17		"Chromosome"	534819879	29218644	124801819	97
"631328"	"species"	"Tachina fera"	"GCA_905220395.1"	1392	1390		30.5		"Scaffold"	737856926	2078727	2078727	
"374264"	"species"	"Xylota sylvarum"	"GCA_905220405.1"	465	464		38.5		"Scaffold"	442946703	2273631	2273631	
"72248"	"species"	"Colias croceus"	"GCA_905220415.1"	41	32	32	33.6		"Chromosome"	324897031	10749422	11204669	99
"689058"	"species"	"Amphipyra tragopoginis"	"GCA_905220425.1"	238	238		38.5		"Contig"	806994927	10315863	10315863	
"689058"	"species"	"Amphipyra tragopoginis"	"GCA_905220435.1"	54	32	31	38.35		"Chromosome"	805653278	23469271	28301216	98.80000000000001
"72248"	"species"	"Colias croceus"	"GCA_905220445.1"	196	196		33.5		"Contig"	305561395	4104204	4104204	
"644661"	"species"	"Deilephila porcellus"	"GCA_905220455.2"	35	30	29	36.34		"Chromosome"	402056583	14884985	15067504	98.80000000000001
"644661"	"species"	"Deilephila porcellus"	"GCA_905220465.1"	347	347		36.5		"Contig"	398986216	2309125	2309125	
"722662"	"species"	"Ennomos fuscantarius"	"GCA_905220475.3"	45	36	31	37.01		"Chromosome"	444910036	15530408	15884173	98.5
"722662"	"species"	"Ennomos fuscantarius"	"GCA_905220485.1"	4024	4022		37		"Scaffold"	376766614	151328	151328	
"522836"	"species"	"Laothoe populi"	"GCA_905220495.1"	1397	1395		38		"Scaffold"	532491273	762647	762647	
"522836"	"species"	"Laothoe populi"	"GCA_905220505.1"	134	32	29	38.02		"Chromosome"	576387381	6972935	21125926	98.80000000000001
"268709"	"species"	"Lysandra coridon"	"GCA_905220515.1"	338	99	90	36.67		"Chromosome"	540719330	2004790	5931830	97.2
"268709"	"species"	"Lysandra coridon"	"GCA_905220525.1"	1274	1273		36.5		"Scaffold"	524608667	823289	823289	
"113330"	"species"	"Melitaea athalia"	"GCA_905220535.1"	836	836		35		"Contig"	590748717	4262437	4262437	
"113330"	"species"	"Melitaea athalia"	"GCA_905220545.2"	128	45	32	34.5		"Chromosome"	609549632	9808070	20295254	
"113334"	"species"	"Melitaea cinxia"	"GCA_905220555.1"	509	509		34		"Contig"	449465048	1850851	1850851	
"113334"	"species"	"Melitaea cinxia"	"GCA_905220565.1"	111	31	31	34.09		"Chromosome"	499397863	7977876	17325599	98.4
"171594"	"species"	"Nymphalis polychloros"	"GCA_905220575.1"	182	179		34		"Scaffold"	375036897	5147969	5147969	
"171594"	"species"	"Nymphalis polychloros"	"GCA_905220585.2"	44	37	32	34.5		"Chromosome"	398097521	13933406	13933406	
"875880"	"species"	"Spilosoma lubricipeda"	"GCA_905220595.1"	56	36	30	35.79		"Chromosome"	587346829	20639572	21028324	98.80000000000001
"875880"	"species"	"Spilosoma lubricipeda"	"GCA_905220605.1"	585	585		35.5		"Contig"	582128096	2160010	2160010	
"1594354"	"species"	"Tinea trinotella"	"GCA_905220615.1"	34	31	30	35.660000000000004		"Chromosome"	371722122	13660558	13660558	94.60000000000001
"1594354"	"species"	"Tinea trinotella"	"GCA_905220625.1"	157	157		35.5		"Contig"	369802652	5200664	5200664	
"198635"	"species"	"Eristalis tenax"	"GCA_905231845.1"	1193	1185		42		"Scaffold"	504353716	2410441	2410994	
"198635"	"species"	"Eristalis tenax"	"GCA_905231855.2"	289	156	6	42.11		"Chromosome"	487002646	6649640	77068984	96.7
"191398"	"species"	"Boloria selene"	"GCA_905231865.2"	41	31	31	32.85		"Chromosome"	399902484	13401531	13620786	98.60000000000001
"191398"	"species"	"Boloria selene"	"GCA_905231875.1"	221	218		33		"Scaffold"	326647194	4427016	4427016	
"78633"	"species"	"Pieris napi"	"GCA_905231885.1"	75	48	25	34.04		"Chromosome"	319989255	10922705	12982002	99.10000000000001
"78633"	"species"	"Pieris napi"	"GCA_905231895.1"	82	80		34		"Scaffold"	313474378	8823493	8823493	
"5802"	"species"	"Eimeria tenella"	"GCA_905310635.1"	60	15	15	51.63		"Chromosome"	53209173	1641020	4007228	98.80000000000001
"9612"	"species"	"Canis lupus"	"GCA_905319845.1"	5537	5536		41.5		"Scaffold"	1446594657	719346	719346	
"9612"	"species"	"Canis lupus"	"GCA_905319855.2"	247	81	40	41.49		"Chromosome"	2447447219	34375412	65778685	95.5
"988125"	"species"	"Hecatera dysodea"	"GCA_905332915.2"	115	40	32	38.42		"Chromosome"	640896252	18008363	21896367	99
"988125"	"species"	"Hecatera dysodea"	"GCA_905332925.1"	228	227		39.5		"Scaffold"	151373977	2888358	2888358	
"85660"	"species"	"Bombus hortorum"	"GCA_905332935.1"	72	42	18	37.96		"Chromosome"	296297395	10578496	17016242	97.5
"988071"	"species"	"Atethmia centrago"	"GCA_905332945.1"	8321	8321		39		"Contig"	892083702	170690	170690	
"138070"	"species"	"Lysandra bellargus"	"GCA_905332955.1"	696	696		36.5		"Contig"	497064181	1845172	1845172	
"65598"	"species"	"Bombus pascuorum"	"GCA_905332965.1"	120	81	17	36		"Chromosome"	307548333	8974029	17556731	97.80000000000001
"522848"	"species"	"Mimas tiliae"	"GCA_905332985.1"	40	29	29	38.2		"Chromosome"	477965817	17797476	17899878	98.80000000000001
"65598"	"species"	"Bombus pascuorum"	"GCA_905332995.1"	555	554		36.5		"Scaffold"	276214278	1917109	1953797	
"282391"	"species"	"Lycaena phlaeas"	"GCA_905333005.2"	27	24	24	36		"Chromosome"	420468287	18072480	18312151	
"207624"	"species"	"Bombus campestris"	"GCA_905333015.3"	140	91	25	37.5		"Chromosome"	275239257	6166019	12249729	
"346838"	"species"	"Pyrochroa serraticornis"	"GCA_905333025.2"	82	39	10	34.5		"Chromosome"	249396633	12970676	37181734	
"346838"	"species"	"Pyrochroa serraticornis"	"GCA_905333035.1"	1337	1337		34.5		"Contig"	226804794	288810	288810	
"138070"	"species"	"Lysandra bellargus"	"GCA_905333045.1"	361	139	46	36.45		"Chromosome"	528918181	2881691	11205580	97.4
"191418"	"species"	"Maniola jurtina"	"GCA_905333055.1"	52	31	30	36.96		"Chromosome"	402038846	13288869	15090120	98.30000000000001
"282391"	"species"	"Lycaena phlaeas"	"GCA_905333065.1"	242	242		35.68		"Contig"	403619318	3651375	3651375	96.2
"988071"	"species"	"Atethmia centrago"	"GCA_905333075.3"	79	44	31	38.9		"Chromosome"	926639817	26605457	31773998	99.10000000000001
"522848"	"species"	"Mimas tiliae"	"GCA_905333085.1"	1054	1054		38		"Contig"	467764468	858650	858650	
"85660"	"species"	"Bombus hortorum"	"GCA_905333095.1"	41	41		41		"Contig"	14173259	2882664	2882664	
"191418"	"species"	"Maniola jurtina"	"GCA_905333105.1"	177	175		36.97		"Scaffold"	374714435	4297759	4410918	92.7
"988019"	"species"	"Pheosia tremula"	"GCA_905333115.1"	1285	1284		38		"Scaffold"	295036384	412752	412752	
"988019"	"species"	"Pheosia tremula"	"GCA_905333125.1"	106	37	31	37.980000000000004		"Chromosome"	290204870	7703384	10632747	98.7
"938171"	"species"	"Abrostola tripartita"	"GCA_905340225.1"	34	32	31	37.01		"Chromosome"	381042155	13645312	13645312	99
"938171"	"species"	"Abrostola tripartita"	"GCA_905340255.1"	276	276		37		"Contig"	377898841	3518944	3518944	
"30212"	"species"	"Vespula germanica"	"GCA_905340295.1"	742	741		35		"Scaffold"	196453834	650048	650048	
"41101"	"species"	"Rhagonycha fulva"	"GCA_905340355.1"	81	12	7	30.38		"Chromosome"	424661649	21086067	115753052	98.9
"30212"	"species"	"Vespula germanica"	"GCA_905340365.1"	56	36	25	35.13		"Chromosome"	205771445	6563324	9441317	96.4
"41101"	"species"	"Rhagonycha fulva"	"GCA_905340395.1"	1319	1319		31		"Contig"	363526809	549097	549097	
"203781"	"species"	"Glaucopsyche alexis"	"GCA_905404095.1"	206	57	23	36		"Chromosome"	619528502	7600873	26518193	97.10000000000001
"189913"	"species"	"Leptidea sinapis"	"GCA_905404105.1"	422	421		35.5		"Scaffold"	674498414	4501614	4501614	
"988018"	"species"	"Pheosia gnoma"	"GCA_905404115.1"	101	38	31	37.89		"Chromosome"	271333527	7537178	9829711	98.80000000000001
"988018"	"species"	"Pheosia gnoma"	"GCA_905404125.1"	1620	1619		38		"Scaffold"	276440668	287592	287592	
"291688"	"species"	"Hesperia comma"	"GCA_905404135.1"	124	39	29	37.04		"Chromosome"	525335281	10272607	18810678	98.30000000000001
"82595"	"species"	"Biston betularia"	"GCA_905404145.2"	43	32	31	36.74		"Chromosome"	404509252	14013682	14733994	98.7
"242267"	"species"	"Plebejus argus"	"GCA_905404155.3"	207	38	23	36.5		"Chromosome"	382092912	3678063	16721534	
"242267"	"species"	"Plebejus argus"	"GCA_905404165.1"	549	548		36.5		"Scaffold"	381919582	1256361	1256361	
"227532"	"species"	"Anthocharis cardamines"	"GCA_905404175.1"	114	54	31	34.52		"Chromosome"	359601502	6265090	12507586	99
"7454"	"species"	"Vespula vulgaris"	"GCA_905404185.1"	507	507		34.5		"Contig"	185444329	849164	849164	
"104474"	"species"	"Erannis defoliaria"	"GCA_905404195.1"	1029	1029		38		"Contig"	518526686	914930	914930	
"3126489"	"species"	"Ochlodes sylvanus"	"GCA_905404205.1"	939	938		36.5		"Scaffold"	307650462	673362	673362	
"82595"	"species"	"Biston betularia"	"GCA_905404215.1"	568	568		36.5		"Contig"	404631406	1182792	1182792	
"203781"	"species"	"Glaucopsyche alexis"	"GCA_905404225.1"	1472	1472		36		"Contig"	658797992	5232038	5232038	
"1869985"	"species"	"Hedya salicella"	"GCA_905404235.2"	1462	1461		37.5		"Scaffold"	722634899	1009936	1009936	
"291688"	"species"	"Hesperia comma"	"GCA_905404245.1"	196	195		37.5		"Scaffold"	251808149	3878142	3878142	
"405009"	"species"	"Fabriciana adippe"	"GCA_905404255.1"	451	451		32.5		"Contig"	452203855	4513086	4513086	
"405009"	"species"	"Fabriciana adippe"	"GCA_905404265.1"	110	94	29	32.39		"Chromosome"	484811369	15984712	16739368	98.9
"1869985"	"species"	"Hedya salicella"	"GCA_905404275.2"	60	45	25	37.59		"Chromosome"	742309209	25550971	27275373	98.2
"104474"	"species"	"Erannis defoliaria"	"GCA_905404285.2"	90	37	29	38		"Chromosome"	522356532	11448532	19179966	
"3126489"	"species"	"Ochlodes sylvanus"	"GCA_905404295.2"	126	32	30	37		"Chromosome"	379669142	6806391	13557832	
"227532"	"species"	"Anthocharis cardamines"	"GCA_905404305.1"	234	234		34.5		"Contig"	327220656	3354000	3354000	
"189913"	"species"	"Leptidea sinapis"	"GCA_905404315.1"	60	49	48	35.730000000000004		"Chromosome"	685583065	14011732	14447461	98.30000000000001
"189513"	"species"	"Chrysoperla carnea"	"GCA_905475295.1"	433	432		29		"Scaffold"	590533921	13665904	13665904	
"987893"	"species"	"Autographa pulchrina"	"GCA_905475315.1"	213	135	32	35.57		"Chromosome"	426225690	9609940	13453062	98.9
"987902"	"species"	"Clostera curtula"	"GCA_905475325.1"	1279	1277		39		"Scaffold"	461785041	653972	653972	
"411963"	"species"	"Schrankia costaestrigalis"	"GCA_905475335.1"	486	486		35		"Contig"	569176499	3065922	3065922	
"7454"	"species"	"Vespula vulgaris"	"GCA_905475345.1"	49	27	25	34.63		"Chromosome"	188185082	8516319	8749684	96.4
"987902"	"species"	"Clostera curtula"	"GCA_905475355.2"	141	30	30	39.27		"Chromosome"	512665902	6772994	18278162	98.5
"189513"	"species"	"Chrysoperla carnea"	"GCA_905475395.1"	399	337	6	29.080000000000002		"Chromosome"	560232532	67795596	94407144	95.9
"411963"	"species"	"Schrankia costaestrigalis"	"GCA_905475405.1"	86	45	31	34.81		"Chromosome"	571975913	14389424	20082482	97.60000000000001
"78633"	"species"	"Pieris napi"	"GCA_905475415.1"	105	105		34		"Contig"	306647215	11488412	11488412	
"320037"	"species"	"Ochropleura plecta"	"GCA_905475425.1"	1051	1048		38		"Scaffold"	617411268	5038555	5038555	
"987893"	"species"	"Autographa pulchrina"	"GCA_905475435.1"	1112	1100		35.5		"Scaffold"	389313284	6280402	6280402	
"320037"	"species"	"Ochropleura plecta"	"GCA_905475445.1"	122	34	32	37.97		"Chromosome"	643947103	9617699	21894754	98.9
"78633"	"species"	"Pieris napi"	"GCA_905475465.2"	83	42	26	34		"Chromosome"	319186907	8327096	13068865	
"987953"	"species"	"Hemaris fuciformis"	"GCA_907164795.1"	89	42	30	37.08		"Chromosome"	448837683	10683069	16553285	98.7
"2065413"	"species"	"Brachyptera putata"	"GCA_907164805.1"	1072	14	14	36.5		"Chromosome"	436497185	1512184	33200100	98.10000000000001
"2065413"	"species"	"Brachyptera putata"	"GCA_907164815.1"	2788	2316		38		"Scaffold"	79437563	48569	65784	
"987953"	"species"	"Hemaris fuciformis"	"GCA_907164865.1"	267	262		37		"Scaffold"	392415368	3574338	3574338	
"257759"	"species"	"Dolomedes plantarius"	"GCA_907164875.2"	13373	13348		33.5		"Scaffold"	2381335874	292830	293485	
"257759"	"species"	"Dolomedes plantarius"	"GCA_907164885.2"	3217	437	14	33.5		"Chromosome"	2780156309	2276774	216720617	
"253017"	"species"	"Impatiens glandulifera"	"GCA_907164895.1"	2293	2278		32		"Scaffold"	421451920	459265	460815	
"253017"	"species"	"Impatiens glandulifera"	"GCA_907164915.1"	1970	1114	9	32.13		"Chromosome"	653879104	1916592	61894379	94.30000000000001
"1437191"	"subspecies"	"Osmia bicornis bicornis"	"GCA_907164925.1"	859	853		39.5		"Scaffold"	198064647	893605	893605	
